Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
28,CALM,92.11774444580078,-3.5403521060943604,-0.7872571349143982,-1.9344936609268188,-5.21210241317749,-11.11833667755127
29,CALM,93.37332916259766,-3.3543455600738525,-1.036666989326477,-1.9942684173583984,-5.20027494430542,-11.385824203491211
30,CALM,94.48939514160156,-3.335420608520508,-1.2698490619659424,-2.1517601013183594,-3.763850450515747,-10.450361251831055
31,CALM,94.48939514160156,-3.137143611907959,-1.3992960453033447,-2.2662577629089355,-3.817704200744629,-10.737545013427734
32,CALM,94.140625,-3.1135575771331787,-1.5394964218139648,-2.3418514728546143,-3.960171699523926,-10.605422973632812
33,CALM,95.95423889160156,-3.2609400749206543,-1.222152829170227,-2.607337474822998,-3.782590389251709,-10.814130783081055
34,CALM,95.04743194580078,-3.197046995162964,-0.9269118309020996,-2.8364477157592773,-3.7871944904327393,-11.130796432495117
35,CALM,90.02510833740234,-3.2770369052886963,-0.799405038356781,-2.8383567333221436,-4.118709087371826,-10.75003433227539
36,CALM,51.119144439697266,-3.2293343544006348,-0.9580565690994263,-2.8210909366607666,-3.9303998947143555,-10.5740385055542
37,CALM,50.777347564697266,-3.196582078933716,-0.992958128452301,-2.7617666721343994,-3.4452102184295654,-10.683588981628418
38,CALM,59.810550689697266,-3.3218252658843994,-1.3451721668243408,-2.4169211387634277,-3.5616097450256348,-10.34296989440918
39,CALM,86.72607421875,-3.5861928462982178,-1.4730358123779297,-2.0141615867614746,-3.765282154083252,-10.384658813476562
40,CALM,88.67919921875,-3.6139442920684814,-1.6271389722824097,-1.4981732368469238,-4.247524261474609,-10.321834564208984
41,CALM,84.16259765625,-3.8378493785858154,-1.8161001205444336,-0.7891669273376465,-3.84666109085083,-11.15157699584961
42,CALM,86.84814453125,-4.15976095199585,-1.9905835390090942,-0.5265284776687622,-3.608414888381958,-10.69811725616455
43,CALM,82.94189453125,-4.272167205810547,-2.125197649002075,-0.5119752883911133,-3.7876880168914795,-10.550809860229492
44,CALM,77.119140625,-4.235732555389404,-2.002178907394409,-0.6915234327316284,-4.079966068267822,-10.701366424560547
45,CALM,57.710941314697266,-4.317870140075684,-1.5766499042510986,-0.3149396479129791,-4.076582431793213,-11.085620880126953
46,CALM,47.8125,-4.30689811706543,-1.526767611503601,0.051651034504175186,-4.575164318084717,-10.921735763549805
47,CALM,49.41685104370117,-4.44267463684082,-1.6773409843444824,0.6318097114562988,-4.865874767303467,-11.033330917358398
48,CALM,41.0695686340332,-4.312182903289795,-1.8409842252731323,1.238248348236084,-5.391043663024902,-11.113961219787598
49,SURPRISED,60.245418548583984,-4.283626079559326,-1.8748459815979004,2.084104537963867,-5.379640579223633,-10.963157653808594
50,CALM,45.882625579833984,-4.0760040283203125,-1.8558721542358398,2.572864294052124,-4.612525939941406,-11.245793342590332
51,CALM,44.208518981933594,-3.8419408798217773,-1.7939542531967163,2.9893407821655273,-3.7232072353363037,-11.479903221130371
52,CALM,43.650482177734375,-3.717557191848755,-1.8120890855789185,3.1420934200286865,-3.3010854721069336,-11.24018669128418
53,CALM,56.929691314697266,-3.5451037883758545,-1.6716519594192505,3.104902982711792,-3.3170523643493652,-11.518365859985352
54,CALM,62.71484375,-3.2985458374023438,-1.497268795967102,2.689788579940796,-3.451373338699341,-10.964401245117188
55,CALM,55.074222564697266,-3.129848003387451,-1.0734683275222778,2.448375940322876,-3.198699951171875,-11.355151176452637
56,CALM,51.607425689697266,-3.184532880783081,-0.7120844125747681,2.0939462184906006,-3.5391194820404053,-11.648994445800781
57,CALM,47.510231018066406,-3.2275075912475586,-0.5527058243751526,2.155914068222046,-3.558560609817505,-11.755261421203613
58,CALM,81.7822265625,-3.389103412628174,-0.14809995889663696,2.1380035877227783,-3.7180421352386475,-11.688648223876953
59,CALM,92.60602569580078,-3.3132882118225098,0.01481956522911787,2.434382200241089,-3.6020116806030273,-11.971832275390625
60,CALM,94.62890625,-3.430752992630005,0.052644774317741394,2.907240390777588,-3.507981538772583,-12.075489044189453
61,CALM,95.04743194580078,-3.4092235565185547,0.37031206488609314,3.1765172481536865,-3.7114028930664062,-11.813980102539062
62,CALM,95.81473541259766,-3.3260982036590576,0.13652940094470978,3.7024569511413574,-3.930715560913086,-12.006467819213867
63,CALM,96.30301666259766,-3.3306732177734375,0.141013965010643,4.179800510406494,-4.163476943969727,-12.048999786376953
64,CALM,96.30301666259766,-3.4566192626953125,-0.0024013128131628036,4.686253070831299,-4.167699813842773,-12.106010437011719
65,CALM,94.90792083740234,-3.234496593475342,-0.012207833118736744,5.098866939544678,-4.1381354331970215,-12.477190971374512
66,CALM,97.41908264160156,-3.3199448585510254,-0.19192339479923248,5.682723045349121,-2.2384893894195557,-13.410786628723145
67,CALM,98.046875,-3.3860299587249756,-0.17247135937213898,6.183916091918945,-2.51041316986084,-13.312939643859863
68,CALM,97.90736389160156,-3.553192138671875,-0.10705120861530304,6.8216705322265625,-2.1880390644073486,-13.554944038391113
69,CALM,95.95423889160156,-3.7516045570373535,-0.023660527542233467,7.284010410308838,-2.089404821395874,-13.59740924835205
70,CALM,96.44252014160156,-3.8472774028778076,0.08713062107563019,7.174010753631592,-2.4649908542633057,-12.977396011352539
71,CALM,92.81529235839844,-3.7686874866485596,0.3721144199371338,7.013038158416748,-2.4786617755889893,-12.543789863586426
72,CALM,90.86216735839844,-3.822380542755127,0.3435995876789093,6.674991130828857,-2.557857036590576,-12.544819831848145
73,CALM,82.57568359375,-4.091519355773926,0.347454309463501,6.19674015045166,-2.6034047603607178,-12.386029243469238
74,CALM,52.095706939697266,-4.532668590545654,0.45074906945228577,5.555916786193848,-2.5070881843566895,-12.002832412719727
75,CALM,55.025394439697266,-4.626079082489014,0.5456727147102356,5.062130451202393,-2.5040547847747803,-11.72127914428711
76,CALM,49.69586944580078,-4.785062789916992,0.5770936608314514,4.690764427185059,-1.8714866638183594,-11.945703506469727
77,CALM,55.708988189697266,-4.9066009521484375,0.47012436389923096,4.193434238433838,-2.0483810901641846,-11.863564491271973
