Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
0,CALM,77.8515625,-2.168024778366089,-3.687483787536621,2.4745330810546875,-7.700710773468018,-3.6776914596557617
1,CALM,52.925785064697266,-2.0459697246551514,-3.627436399459839,2.53395938873291,-7.54870080947876,-4.17836856842041
2,SURPRISED,74.03351593017578,-2.6590704917907715,-3.5465004444122314,2.6609153747558594,-7.748859405517578,-3.8920249938964844
3,SURPRISED,94.53467559814453,-3.028141736984253,-3.5037612915039062,2.956967830657959,-5.856567859649658,-4.751001358032227
4,SURPRISED,98.97203826904297,-2.8281641006469727,-3.4070887565612793,3.1792376041412354,-6.234347343444824,-5.2499260902404785
5,SURPRISED,99.58881378173828,-3.0760886669158936,-3.3122406005859375,3.0312912464141846,-5.860586643218994,-5.912344932556152
6,SURPRISED,99.76014709472656,-2.815406322479248,-3.1279187202453613,2.4260923862457275,-5.7311787605285645,-7.512694358825684
7,SURPRISED,99.5202865600586,-2.790736675262451,-3.000124216079712,2.5264577865600586,-5.723230838775635,-8.692042350769043
8,SURPRISED,97.63568878173828,-2.954367160797119,-2.613722324371338,3.210874557495117,-5.306234836578369,-8.024622917175293
9,CALM,92.32701110839844,-3.13547420501709,-2.8900294303894043,3.9509434700012207,-6.002964019775391,-7.722593784332275
10,CALM,98.74442291259766,-2.9779787063598633,-2.6486563682556152,4.173885345458984,-5.893174171447754,-8.585550308227539
11,CALM,99.0234375,-2.9621572494506836,-2.720080614089966,4.1550798416137695,-5.6064605712890625,-8.389641761779785
12,CALM,98.46540069580078,-2.635037660598755,-2.7584102153778076,3.7334506511688232,-5.605274677276611,-7.951054096221924
13,CALM,97.00055694580078,-2.8923678398132324,-2.5643563270568848,4.356810569763184,-5.863889217376709,-7.899456977844238
14,CALM,93.72209930419922,-2.9635181427001953,-2.3622026443481445,4.199217319488525,-5.81001615524292,-7.258761882781982
15,CALM,47.92875671386719,-2.8772244453430176,-2.1488633155822754,3.867067575454712,-6.082150936126709,-7.349196434020996
16,SURPRISED,70.76518249511719,-2.587549924850464,-1.9777295589447021,3.748206853866577,-6.216635227203369,-7.144373416900635
17,SURPRISED,79.50699615478516,-2.498913288116455,-1.8078184127807617,3.557112216949463,-6.290747165679932,-6.885309219360352
18,SURPRISED,78.56193542480469,-2.5579094886779785,-2.017561435699463,3.4364540576934814,-6.119780540466309,-6.856589317321777
19,SURPRISED,78.68006896972656,-2.5074961185455322,-1.9873199462890625,3.17208194732666,-6.224423408508301,-6.448118209838867
20,SURPRISED,77.65625,-2.3703227043151855,-1.8446155786514282,2.828632354736328,-6.309410095214844,-6.305265426635742
21,SURPRISED,95.5455093383789,-2.5045506954193115,-2.0455074310302734,2.4669344425201416,-5.9048638343811035,-6.631019115447998
22,SURPRISED,98.74931335449219,-2.3503963947296143,-2.007429599761963,1.5743623971939087,-5.175843238830566,-6.257739543914795
23,SURPRISED,99.12622833251953,-2.2526426315307617,-1.9768271446228027,1.1339530944824219,-4.299246311187744,-6.024279594421387
24,SURPRISED,99.09197235107422,-2.4583513736724854,-1.992342472076416,0.9112942814826965,-4.797638416290283,-6.257737636566162
25,SURPRISED,69.56365966796875,-2.2191953659057617,-1.7215653657913208,0.809565544128418,-3.9197230339050293,-6.483700752258301
26,CALM,99.16294860839844,-2.474921703338623,-1.604817271232605,0.7118281722068787,-4.365414142608643,-7.328972339630127
27,CALM,99.16294860839844,-2.35343337059021,-1.612255334854126,0.9840142726898193,-4.203117370605469,-7.127902030944824
28,CALM,99.16294860839844,-2.4724314212799072,-1.5005688667297363,1.5440000295639038,-4.532766819000244,-7.348543643951416
29,SURPRISED,69.37193298339844,-2.5004096031188965,-1.520675778388977,1.891274333000183,-4.252248764038086,-6.246784210205078
30,SURPRISED,94.34622192382812,-2.500485420227051,-1.481880784034729,1.7295958995819092,-4.4721293449401855,-5.747479438781738
31,SURPRISED,89.3984375,-2.8646230697631836,-1.0919839143753052,2.070004940032959,-3.3578381538391113,-6.235474109649658
32,CALM,47.64973831176758,-3.046128988265991,-0.8980169892311096,2.5119447708129883,-3.6478147506713867,-6.378476619720459
33,CALM,84.833984375,-3.1009111404418945,-0.8342517614364624,2.791278123855591,-3.3694007396698,-6.353867053985596
34,CALM,64.1796875,-3.055767297744751,-0.8262695074081421,2.985991954803467,-3.493863105773926,-6.504662036895752
35,CALM,55.953128814697266,-3.127427577972412,-0.8020775318145752,3.179255723953247,-3.589327096939087,-6.395786762237549
36,CALM,55.269535064697266,-3.35150146484375,-0.9365517497062683,3.185946464538574,-3.408153772354126,-6.266591548919678
37,CALM,80.0732421875,-3.338972806930542,-0.8949893116950989,2.7912001609802246,-3.2745273113250732,-6.761402606964111
38,CALM,87.1533203125,-3.5219030380249023,-0.55107182264328,2.9816882610321045,-3.858596086502075,-7.033430099487305
39,CALM,91.69921875,-3.837289333343506,-0.7321151494979858,3.3650455474853516,-4.029118061065674,-7.488262176513672
40,CALM,90.86216735839844,-4.062983512878418,-0.49418097734451294,3.161268949508667,-4.091281414031982,-7.337621212005615
41,CALM,82.94189453125,-4.424158573150635,-0.4202452600002289,2.598433017730713,-3.9543232917785645,-6.910758018493652
42,CALM,91.07142639160156,-4.339317798614502,-0.7885689735412598,1.7999039888381958,-3.9422082901000977,-8.137516021728516
43,CALM,99.44196319580078,-4.8340606689453125,-0.7430060505867004,1.8792284727096558,-3.6604490280151367,-8.981654167175293
44,CALM,99.30245208740234,-4.764323711395264,-0.8045634031295776,2.3138656616210938,-3.813509702682495,-8.893698692321777
45,CALM,99.58147430419922,-4.575711250305176,-1.0439001321792603,2.988079071044922,-3.834125518798828,-8.795455932617188
46,CALM,95.81473541259766,-4.421878337860107,-1.332383632659912,3.7217905521392822,-4.114813804626465,-8.40075397491455
47,CALM,92.60602569580078,-4.560499668121338,-1.0645861625671387,4.047145366668701,-4.0452752113342285,-8.160467147827148
48,CALM,92.1875,-4.693210124969482,-1.1106752157211304,3.726630687713623,-3.7031421661376953,-8.292352676391602
49,CALM,91.35044860839844,-4.58544921875,-1.0835682153701782,2.7301406860351562,-3.6536166667938232,-7.922677516937256
50,CALM,91.07142639160156,-4.801818370819092,-0.9918792247772217,2.677422046661377,-3.4957284927368164,-7.804853439331055
51,CALM,86.4208984375,-5.006659030914307,-0.7592353820800781,2.4837236404418945,-3.6716220378875732,-7.450926780700684
52,SURPRISED,76.55368041992188,-5.192144393920898,-0.538696825504303,2.0944082736968994,-3.9388186931610107,-7.5158820152282715
53,SURPRISED,95.33991241455078,-5.192664623260498,-0.49498459696769714,2.098252773284912,-4.082313060760498,-7.437920570373535
54,SURPRISED,97.84127807617188,-5.043972015380859,-0.7449113130569458,2.3538126945495605,-4.276082515716553,-7.276291370391846
55,SURPRISED,99.26329040527344,-5.161413669586182,-0.7611290216445923,2.785979747772217,-4.491384983062744,-7.56215238571167
56,SURPRISED,99.69161224365234,-5.524123668670654,-1.000020980834961,3.4262490272521973,-4.640124320983887,-8.033108711242676
57,SURPRISED,99.8629379272461,-6.18630838394165,-1.1579375267028809,3.6810483932495117,-3.932011127471924,-8.228111267089844
58,SURPRISED,99.89720916748047,-6.457677364349365,-1.0673922300338745,3.485015392303467,-3.6731066703796387,-8.210270881652832
59,SURPRISED,99.8629379272461,-6.5058913230896,-0.8384407758712769,2.9742960929870605,-3.2483227252960205,-8.494970321655273
60,SURPRISED,99.8629379272461,-6.530771732330322,-0.5401120185852051,2.3984181880950928,-4.884430408477783,-7.63133430480957
